year,round,from_country_id,to_country_id,from_country,to_country,total_points,tele_points,jury_points
1957,final,nl,fr,nl,fr,1,,
1957,final,nl,dk,nl,dk,5,,
1957,final,nl,lu,nl,lu,0,,
1957,final,nl,de,nl,de,0,,
1957,final,nl,it,nl,it,2,,
1957,final,nl,gb,nl,gb,1,,
1957,final,nl,be,nl,be,0,,
1957,final,nl,ch,nl,ch,0,,
1957,final,nl,at,nl,at,1,,
1957,final,ch,nl,ch,nl,7,,
1957,final,ch,fr,ch,fr,0,,
1957,final,ch,dk,ch,dk,0,,
1957,final,ch,lu,ch,lu,0,,
1957,final,ch,de,ch,de,0,,
1957,final,ch,it,ch,it,0,,
1957,final,ch,gb,ch,gb,2,,
1957,final,ch,be,ch,be,1,,
1957,final,ch,ch,ch,ch,0,,
1957,final,ch,at,ch,at,0,,
1957,final,gb,nl,gb,nl,1,,
1957,final,gb,fr,gb,fr,2,,
1957,final,gb,dk,gb,dk,2,,
1957,final,gb,lu,gb,lu,1,,
1957,final,gb,de,gb,de,0,,
1957,final,gb,it,gb,it,2,,
1957,final,gb,gb,gb,gb,0,,
1957,final,gb,be,gb,be,0,,
1957,final,gb,ch,gb,ch,0,,
1957,final,gb,at,gb,at,2,,
1958,final,at,fr,at,fr,7,,
1958,final,at,ch,at,ch,0,,
1958,final,at,it,at,it,1,,
1958,final,at,se,at,se,1,,
1958,final,at,be,at,be,0,,
1958,final,at,at,at,at,0,,
1958,final,at,de,at,de,1,,
1958,final,at,dk,at,dk,0,,
1958,final,at,nl,at,nl,0,,
1958,final,at,lu,at,lu,0,,
1958,final,be,fr,be,fr,1,,
1958,final,be,ch,be,ch,2,,
1958,final,be,it,be,it,4,,
1958,final,be,se,be,se,1,,
1958,final,be,be,be,be,0,,
1958,final,be,at,be,at,1,,
1958,final,be,de,be,de,1,,
1958,final,be,dk,be,dk,0,,
1958,final,be,nl,be,nl,0,,
1958,final,be,lu,be,lu,0,,
1958,final,dk,fr,dk,fr,9,,
1958,final,dk,ch,dk,ch,0,,
1958,final,dk,it,dk,it,0,,
1958,final,dk,se,dk,se,0,,
1958,final,dk,be,dk,be,1,,
1958,final,dk,at,dk,at,0,,
1958,final,dk,de,dk,de,0,,
1958,final,dk,dk,dk,dk,0,,
1958,final,dk,nl,dk,nl,0,,
1958,final,dk,lu,dk,lu,0,,
1958,final,fr,fr,fr,fr,0,,
1958,final,fr,ch,fr,ch,3,,
1958,final,fr,it,fr,it,1,,
1958,final,fr,se,fr,se,0,,
1958,final,fr,be,fr,be,0,,
1958,final,fr,at,fr,at,3,,
1958,final,fr,de,fr,de,2,,
1958,final,fr,dk,fr,dk,1,,
1958,final,fr,nl,fr,nl,0,,
1958,final,fr,lu,fr,lu,0,,
1958,final,de,fr,de,fr,1,,
1958,final,de,ch,de,ch,0,,
1958,final,de,it,de,it,4,,
1958,final,de,se,de,se,0,,
1958,final,de,be,de,be,5,,
1958,final,de,at,de,at,0,,
1958,final,de,de,de,de,0,,
1958,final,de,dk,de,dk,0,,
1958,final,de,nl,de,nl,0,,
1958,final,de,lu,de,lu,0,,
1958,final,it,fr,it,fr,6,,
1958,final,it,ch,it,ch,4,,
1958,final,it,it,it,it,0,,
1958,final,it,se,it,se,0,,
1958,final,it,be,it,be,0,,
1958,final,it,at,it,at,0,,
1958,final,it,de,it,de,0,,
1958,final,it,dk,it,dk,0,,
1958,final,it,nl,it,nl,0,,
1958,final,it,lu,it,lu,0,,
1958,final,lu,fr,lu,fr,1,,
1958,final,lu,ch,lu,ch,5,,
1958,final,lu,it,lu,it,0,,
1958,final,lu,se,lu,se,3,,
1958,final,lu,be,lu,be,0,,
1958,final,lu,at,lu,at,1,,
1958,final,lu,de,lu,de,0,,
1958,final,lu,dk,lu,dk,0,,
1958,final,lu,nl,lu,nl,0,,
1958,final,lu,lu,lu,lu,0,,
1958,final,nl,fr,nl,fr,0,,
1958,final,nl,ch,nl,ch,6,,
1958,final,nl,it,nl,it,1,,
1958,final,nl,se,nl,se,2,,
1958,final,nl,be,nl,be,0,,
1958,final,nl,at,nl,at,0,,
1958,final,nl,de,nl,de,0,,
1958,final,nl,dk,nl,dk,1,,
1958,final,nl,nl,nl,nl,0,,
1958,final,nl,lu,nl,lu,0,,
1958,final,se,fr,se,fr,1,,
1958,final,se,ch,se,ch,4,,
1958,final,se,it,se,it,1,,
1958,final,se,se,se,se,0,,
1958,final,se,be,se,be,1,,
1958,final,se,at,se,at,1,,
1958,final,se,de,se,de,1,,
1958,final,se,dk,se,dk,1,,
1958,final,se,nl,se,nl,0,,
1958,final,se,lu,se,lu,0,,
1958,final,ch,fr,ch,fr,1,,
1958,final,ch,ch,ch,ch,0,,
1958,final,ch,it,ch,it,1,,
1958,final,ch,se,ch,se,3,,
1958,final,ch,be,ch,be,1,,
1958,final,ch,at,ch,at,2,,
1958,final,ch,de,ch,de,0,,
1958,final,ch,dk,ch,dk,0,,
1958,final,ch,nl,ch,nl,1,,
1958,final,ch,lu,ch,lu,1,,
1959,final,at,nl,at,nl,3,,
1959,final,at,gb,at,gb,2,,
1959,final,at,fr,at,fr,1,,
1959,final,at,ch,at,ch,1,,
1959,final,at,dk,at,dk,2,,
1959,final,at,it,at,it,0,,
1959,final,at,be,at,be,0,,
1959,final,at,de,at,de,0,,
1959,final,at,se,at,se,0,,
1959,final,at,at,at,at,0,,
1959,final,at,mc,at,mc,1,,
1959,final,be,nl,be,nl,3,,
1959,final,be,gb,be,gb,2,,
1959,final,be,fr,be,fr,2,,
1959,final,be,ch,be,ch,1,,
1959,final,be,dk,be,dk,0,,
1959,final,be,it,be,it,1,,
1959,final,be,be,be,be,0,,
1959,final,be,de,be,de,1,,
1959,final,be,se,be,se,0,,
1959,final,be,at,be,at,0,,
1959,final,be,mc,be,mc,0,,
1959,final,dk,nl,dk,nl,0,,
1959,final,dk,gb,dk,gb,1,,
1959,final,dk,fr,dk,fr,4,,
1959,final,dk,ch,dk,ch,2,,
1959,final,dk,dk,dk,dk,0,,
1959,final,dk,it,dk,it,0,,
1959,final,dk,be,dk,be,2,,
1959,final,dk,de,dk,de,0,,
1959,final,dk,se,dk,se,1,,
1959,final,dk,at,dk,at,0,,
1959,final,dk,mc,dk,mc,0,,
1959,final,fr,nl,fr,nl,4,,
1959,final,fr,gb,fr,gb,1,,
1959,final,fr,fr,fr,fr,0,,
1959,final,fr,ch,fr,ch,0,,
1959,final,fr,dk,fr,dk,0,,
1959,final,fr,it,fr,it,3,,
1959,final,fr,be,fr,be,0,,
1959,final,fr,de,fr,de,2,,
1959,final,fr,se,fr,se,0,,
1959,final,fr,at,fr,at,0,,
1959,final,fr,mc,fr,mc,0,,
1959,final,de,nl,de,nl,2,,
1959,final,de,gb,de,gb,0,,
1959,final,de,fr,de,fr,4,,
1959,final,de,ch,de,ch,1,,
1959,final,de,dk,de,dk,0,,
1959,final,de,it,de,it,0,,
1959,final,de,be,de,be,3,,
1959,final,de,de,de,de,0,,
1959,final,de,se,de,se,0,,
1959,final,de,at,de,at,0,,
1959,final,de,mc,de,mc,0,,
1959,final,it,nl,it,nl,7,,
1959,final,it,gb,it,gb,0,,
1959,final,it,fr,it,fr,1,,
1959,final,it,ch,it,ch,0,,
1959,final,it,dk,it,dk,1,,
1959,final,it,it,it,it,0,,
1959,final,it,be,it,be,0,,
1959,final,it,de,it,de,1,,
1959,final,it,se,it,se,0,,
1959,final,it,at,it,at,0,,
1959,final,it,mc,it,mc,0,,
1959,final,mc,nl,mc,nl,1,,
1959,final,mc,gb,mc,gb,2,,
1959,final,mc,fr,mc,fr,2,,
1959,final,mc,ch,mc,ch,1,,
1959,final,mc,dk,mc,dk,1,,
1959,final,mc,it,mc,it,1,,
1959,final,mc,be,mc,be,1,,
1959,final,mc,de,mc,de,0,,
1959,final,mc,se,mc,se,0,,
1959,final,mc,at,mc,at,1,,
1959,final,mc,mc,mc,mc,0,,
1959,final,nl,nl,nl,nl,0,,
1959,final,nl,gb,nl,gb,5,,
1959,final,nl,fr,nl,fr,0,,
1959,final,nl,ch,nl,ch,0,,
1959,final,nl,dk,nl,dk,1,,
1959,final,nl,it,nl,it,0,,
1959,final,nl,be,nl,be,1,,
1959,final,nl,de,nl,de,0,,
1959,final,nl,se,nl,se,3,,
1959,final,nl,at,nl,at,0,,
1959,final,nl,mc,nl,mc,0,,
1959,final,se,nl,se,nl,0,,
1959,final,se,gb,se,gb,0,,
1959,final,se,fr,se,fr,0,,
1959,final,se,ch,se,ch,3,,
1959,final,se,dk,se,dk,4,,
1959,final,se,it,se,it,1,,
1959,final,se,be,se,be,0,,
1959,final,se,de,se,de,0,,
1959,final,se,se,se,se,0,,
1959,final,se,at,se,at,2,,
1959,final,se,mc,se,mc,0,,
1959,final,ch,nl,ch,nl,0,,
1959,final,ch,gb,ch,gb,3,,
1959,final,ch,fr,ch,fr,1,,
1959,final,ch,ch,ch,ch,0,,
1959,final,ch,dk,ch,dk,1,,
1959,final,ch,it,ch,it,3,,
1959,final,ch,be,ch,be,0,,
1959,final,ch,de,ch,de,1,,
1959,final,ch,se,ch,se,0,,
1959,final,ch,at,ch,at,1,,
1959,final,ch,mc,ch,mc,0,,
1959,final,gb,nl,gb,nl,1,,
1959,final,gb,gb,gb,gb,0,,
1959,final,gb,fr,gb,fr,0,,
1959,final,gb,ch,gb,ch,5,,
1959,final,gb,dk,gb,dk,2,,
1959,final,gb,it,gb,it,0,,
1959,final,gb,be,gb,be,2,,
1959,final,gb,de,gb,de,0,,
1959,final,gb,se,gb,se,0,,
1959,final,gb,at,gb,at,0,,
1959,final,gb,mc,gb,mc,0,,
1960,final,at,fr,at,fr,1,,
1960,final,at,gb,at,gb,3,,
1960,final,at,mc,at,mc,0,,
1960,final,at,no,at,no,1,,
1960,final,at,de,at,de,2,,
1960,final,at,be,at,be,1,,
1960,final,at,at,at,at,0,,
1960,final,at,ch,at,ch,2,,
1960,final,at,it,at,it,0,,
1960,final,at,se,at,se,0,,
1960,final,at,dk,at,dk,0,,
1960,final,at,nl,at,nl,0,,
1960,final,at,lu,at,lu,0,,
1960,final,be,fr,be,fr,3,,
1960,final,be,gb,be,gb,1,,
1960,final,be,mc,be,mc,0,,
1960,final,be,no,be,no,1,,
1960,final,be,de,be,de,2,,
1960,final,be,be,be,be,0,,
1960,final,be,at,be,at,1,,
1960,final,be,ch,be,ch,0,,
1960,final,be,it,be,it,1,,
1960,final,be,se,be,se,0,,
1960,final,be,dk,be,dk,0,,
1960,final,be,nl,be,nl,1,,
1960,final,be,lu,be,lu,0,,
1960,final,dk,fr,dk,fr,4,,
1960,final,dk,gb,dk,gb,0,,
1960,final,dk,mc,dk,mc,2,,
1960,final,dk,no,dk,no,2,,
1960,final,dk,de,dk,de,0,,
1960,final,dk,be,dk,be,0,,
1960,final,dk,at,dk,at,2,,
1960,final,dk,ch,dk,ch,0,,
1960,final,dk,it,dk,it,0,,
1960,final,dk,se,dk,se,0,,
1960,final,dk,dk,dk,dk,0,,
1960,final,dk,nl,dk,nl,0,,
1960,final,dk,lu,dk,lu,0,,
1960,final,fr,fr,fr,fr,0,,
1960,final,fr,gb,fr,gb,0,,
1960,final,fr,mc,fr,mc,3,,
1960,final,fr,no,fr,no,1,,
1960,final,fr,de,fr,de,4,,
1960,final,fr,be,fr,be,0,,
1960,final,fr,at,fr,at,0,,
1960,final,fr,ch,fr,ch,0,,
1960,final,fr,it,fr,it,0,,
1960,final,fr,se,fr,se,2,,
1960,final,fr,dk,fr,dk,0,,
1960,final,fr,nl,fr,nl,0,,
1960,final,fr,lu,fr,lu,0,,
1960,final,de,fr,de,fr,1,,
1960,final,de,gb,de,gb,1,,
1960,final,de,mc,de,mc,7,,
1960,final,de,no,de,no,0,,
1960,final,de,de,de,de,0,,
1960,final,de,be,de,be,1,,
1960,final,de,at,de,at,0,,
1960,final,de,ch,de,ch,0,,
1960,final,de,it,de,it,0,,
1960,final,de,se,de,se,0,,
1960,final,de,dk,de,dk,0,,
1960,final,de,nl,de,nl,0,,
1960,final,de,lu,de,lu,0,,
1960,final,it,fr,it,fr,0,,
1960,final,it,gb,it,gb,2,,
1960,final,it,mc,it,mc,0,,
1960,final,it,no,it,no,0,,
1960,final,it,de,it,de,0,,
1960,final,it,be,it,be,3,,
1960,final,it,at,it,at,1,,
1960,final,it,ch,it,ch,1,,
1960,final,it,it,it,it,0,,
1960,final,it,se,it,se,1,,
1960,final,it,dk,it,dk,0,,
1960,final,it,nl,it,nl,1,,
1960,final,it,lu,it,lu,1,,
1960,final,lu,fr,lu,fr,1,,
1960,final,lu,gb,lu,gb,5,,
1960,final,lu,mc,lu,mc,1,,
1960,final,lu,no,lu,no,0,,
1960,final,lu,de,lu,de,0,,
1960,final,lu,be,lu,be,0,,
1960,final,lu,at,lu,at,0,,
1960,final,lu,ch,lu,ch,1,,
1960,final,lu,it,lu,it,1,,
1960,final,lu,se,lu,se,0,,
1960,final,lu,dk,lu,dk,1,,
1960,final,lu,nl,lu,nl,0,,
1960,final,lu,lu,lu,lu,0,,
1960,final,mc,fr,mc,fr,5,,
1960,final,mc,gb,mc,gb,1,,
1960,final,mc,mc,mc,mc,0,,
1960,final,mc,no,mc,no,0,,
1960,final,mc,de,mc,de,2,,
1960,final,mc,be,mc,be,0,,
1960,final,mc,at,mc,at,0,,
1960,final,mc,ch,mc,ch,0,,
1960,final,mc,it,mc,it,2,,
1960,final,mc,se,mc,se,0,,
1960,final,mc,dk,mc,dk,0,,
1960,final,mc,nl,mc,nl,0,,
1960,final,mc,lu,mc,lu,0,,
1960,final,nl,fr,nl,fr,2,,
1960,final,nl,gb,nl,gb,5,,
1960,final,nl,mc,nl,mc,0,,
1960,final,nl,no,nl,no,1,,
1960,final,nl,de,nl,de,0,,
1960,final,nl,be,nl,be,0,,
1960,final,nl,at,nl,at,0,,
1960,final,nl,ch,nl,ch,0,,
1960,final,nl,it,nl,it,1,,
1960,final,nl,se,nl,se,1,,
1960,final,nl,dk,nl,dk,0,,
1960,final,nl,nl,nl,nl,0,,
1960,final,nl,lu,nl,lu,0,,
1960,final,no,fr,no,fr,5,,
1960,final,no,gb,no,gb,2,,
1960,final,no,mc,no,mc,0,,
1960,final,no,no,no,no,0,,
1960,final,no,de,no,de,0,,
1960,final,no,be,no,be,0,,
1960,final,no,at,no,at,0,,
1960,final,no,ch,no,ch,1,,
1960,final,no,it,no,it,0,,
1960,final,no,se,no,se,0,,
1960,final,no,dk,no,dk,2,,
1960,final,no,nl,no,nl,0,,
1960,final,no,lu,no,lu,0,,
1960,final,se,fr,se,fr,4,,
1960,final,se,gb,se,gb,1,,
1960,final,se,mc,se,mc,0,,
1960,final,se,no,se,no,0,,
1960,final,se,de,se,de,1,,
1960,final,se,be,se,be,4,,
1960,final,se,at,se,at,0,,
1960,final,se,ch,se,ch,0,,
1960,final,se,it,se,it,0,,
1960,final,se,se,se,se,0,,
1960,final,se,dk,se,dk,0,,
1960,final,se,nl,se,nl,0,,
1960,final,se,lu,se,lu,0,,
1960,final,ch,fr,ch,fr,1,,
1960,final,ch,gb,ch,gb,4,,
1960,final,ch,mc,ch,mc,1,,
1960,final,ch,no,ch,no,4,,
1960,final,ch,de,ch,de,0,,
1960,final,ch,be,ch,be,0,,
1960,final,ch,at,ch,at,0,,
1960,final,ch,ch,ch,ch,0,,
1960,final,ch,it,ch,it,0,,
1960,final,ch,se,ch,se,0,,
1960,final,ch,dk,ch,dk,0,,
1960,final,ch,nl,ch,nl,0,,
1960,final,ch,lu,ch,lu,0,,
1960,final,gb,fr,gb,fr,5,,
1960,final,gb,gb,gb,gb,0,,
1960,final,gb,mc,gb,mc,1,,
1960,final,gb,no,gb,no,1,,
1960,final,gb,de,gb,de,0,,
1960,final,gb,be,gb,be,0,,
1960,final,gb,at,gb,at,2,,
1960,final,gb,ch,gb,ch,0,,
1960,final,gb,it,gb,it,0,,
1960,final,gb,se,gb,se,0,,
1960,final,gb,dk,gb,dk,1,,
1960,final,gb,nl,gb,nl,0,,
1960,final,gb,lu,gb,lu,0,,
1961,final,at,lu,at,lu,4,,
1961,final,at,gb,at,gb,0,,
1961,final,at,ch,at,ch,2,,
1961,final,at,fr,at,fr,0,,
1961,final,at,dk,at,dk,0,,
1961,final,at,it,at,it,0,,
1961,final,at,no,at,no,0,,
1961,final,at,yu,at,yu,3,,
1961,final,at,es,at,es,0,,
1961,final,at,mc,at,mc,0,,
1961,final,at,fi,at,fi,0,,
1961,final,at,nl,at,nl,0,,
1961,final,at,de,at,de,1,,
1961,final,at,se,at,se,0,,
1961,final,at,at,at,at,0,,
1961,final,at,be,at,be,0,,
1961,final,be,lu,be,lu,0,,
1961,final,be,gb,be,gb,1,,
1961,final,be,ch,be,ch,0,,
1961,final,be,fr,be,fr,0,,
1961,final,be,dk,be,dk,0,,
1961,final,be,it,be,it,4,,
1961,final,be,no,be,no,5,,
1961,final,be,yu,be,yu,0,,
1961,final,be,es,be,es,0,,
1961,final,be,mc,be,mc,0,,
1961,final,be,fi,be,fi,0,,
1961,final,be,nl,be,nl,0,,
1961,final,be,de,be,de,0,,
1961,final,be,se,be,se,0,,
1961,final,be,at,be,at,0,,
1961,final,be,be,be,be,0,,
1961,final,dk,lu,dk,lu,1,,
1961,final,dk,gb,dk,gb,1,,
1961,final,dk,ch,dk,ch,0,,
1961,final,dk,fr,dk,fr,0,,
1961,final,dk,dk,dk,dk,0,,
1961,final,dk,it,dk,it,4,,
1961,final,dk,no,dk,no,1,,
1961,final,dk,yu,dk,yu,1,,
1961,final,dk,es,dk,es,0,,
1961,final,dk,mc,dk,mc,0,,
1961,final,dk,fi,dk,fi,1,,
1961,final,dk,nl,dk,nl,0,,
1961,final,dk,de,dk,de,1,,
1961,final,dk,se,dk,se,0,,
1961,final,dk,at,dk,at,0,,
1961,final,dk,be,dk,be,0,,
1961,final,fi,lu,fi,lu,3,,
1961,final,fi,gb,fi,gb,0,,
1961,final,fi,ch,fi,ch,0,,
1961,final,fi,fr,fi,fr,1,,
1961,final,fi,dk,fi,dk,1,,
1961,final,fi,it,fi,it,0,,
1961,final,fi,no,fi,no,2,,
1961,final,fi,yu,fi,yu,0,,
1961,final,fi,es,fi,es,0,,
1961,final,fi,mc,fi,mc,3,,
1961,final,fi,fi,fi,fi,0,,
1961,final,fi,nl,fi,nl,0,,
1961,final,fi,de,fi,de,0,,
1961,final,fi,se,fi,se,0,,
1961,final,fi,at,fi,at,0,,
1961,final,fi,be,fi,be,0,,
1961,final,fr,lu,fr,lu,1,,
1961,final,fr,gb,fr,gb,0,,
1961,final,fr,ch,fr,ch,0,,
1961,final,fr,fr,fr,fr,0,,
1961,final,fr,dk,fr,dk,0,,
1961,final,fr,it,fr,it,1,,
1961,final,fr,no,fr,no,0,,
1961,final,fr,yu,fr,yu,2,,
1961,final,fr,es,fr,es,2,,
1961,final,fr,mc,fr,mc,0,,
1961,final,fr,fi,fr,fi,1,,
1961,final,fr,nl,fr,nl,1,,
1961,final,fr,de,fr,de,0,,
1961,final,fr,se,fr,se,2,,
1961,final,fr,at,fr,at,0,,
1961,final,fr,be,fr,be,0,,
1961,final,de,lu,de,lu,5,,
1961,final,de,gb,de,gb,0,,
1961,final,de,ch,de,ch,0,,
1961,final,de,fr,de,fr,4,,
1961,final,de,dk,de,dk,0,,
1961,final,de,it,de,it,0,,
1961,final,de,no,de,no,0,,
1961,final,de,yu,de,yu,0,,
1961,final,de,es,de,es,0,,
1961,final,de,mc,de,mc,0,,
1961,final,de,fi,de,fi,0,,
1961,final,de,nl,de,nl,1,,
1961,final,de,de,de,de,0,,
1961,final,de,se,de,se,0,,
1961,final,de,at,de,at,0,,
1961,final,de,be,de,be,0,,
1961,final,it,lu,it,lu,3,,
1961,final,it,gb,it,gb,1,,
1961,final,it,ch,it,ch,2,,
1961,final,it,fr,it,fr,0,,
1961,final,it,dk,it,dk,0,,
1961,final,it,it,it,it,0,,
1961,final,it,no,it,no,0,,
1961,final,it,yu,it,yu,0,,
1961,final,it,es,it,es,0,,
1961,final,it,mc,it,mc,0,,
1961,final,it,fi,it,fi,2,,
1961,final,it,nl,it,nl,2,,
1961,final,it,de,it,de,0,,
1961,final,it,se,it,se,0,,
1961,final,it,at,it,at,0,,
1961,final,it,be,it,be,0,,
1961,final,lu,lu,lu,lu,0,,
1961,final,lu,gb,lu,gb,8,,
1961,final,lu,ch,lu,ch,0,,
1961,final,lu,fr,lu,fr,1,,
1961,final,lu,dk,lu,dk,0,,
1961,final,lu,it,lu,it,0,,
1961,final,lu,no,lu,no,0,,
1961,final,lu,yu,lu,yu,0,,
1961,final,lu,es,lu,es,0,,
1961,final,lu,mc,lu,mc,0,,
1961,final,lu,fi,lu,fi,0,,
1961,final,lu,nl,lu,nl,0,,
1961,final,lu,de,lu,de,0,,
1961,final,lu,se,lu,se,0,,
1961,final,lu,at,lu,at,0,,
1961,final,lu,be,lu,be,1,,
1961,final,mc,lu,mc,lu,4,,
1961,final,mc,gb,mc,gb,0,,
1961,final,mc,ch,mc,ch,2,,
1961,final,mc,fr,mc,fr,2,,
1961,final,mc,dk,mc,dk,0,,
1961,final,mc,it,mc,it,1,,
1961,final,mc,no,mc,no,0,,
1961,final,mc,yu,mc,yu,0,,
1961,final,mc,es,mc,es,1,,
1961,final,mc,mc,mc,mc,0,,
1961,final,mc,fi,mc,fi,0,,
1961,final,mc,nl,mc,nl,0,,
1961,final,mc,de,mc,de,0,,
1961,final,mc,se,mc,se,0,,
1961,final,mc,at,mc,at,0,,
1961,final,mc,be,mc,be,0,,
1961,final,nl,lu,nl,lu,1,,
1961,final,nl,gb,nl,gb,3,,
1961,final,nl,ch,nl,ch,2,,
1961,final,nl,fr,nl,fr,0,,
1961,final,nl,dk,nl,dk,1,,
1961,final,nl,it,nl,it,1,,
1961,final,nl,no,nl,no,0,,
1961,final,nl,yu,nl,yu,1,,
1961,final,nl,es,nl,es,1,,
1961,final,nl,mc,nl,mc,0,,
1961,final,nl,fi,nl,fi,0,,
1961,final,nl,nl,nl,nl,0,,
1961,final,nl,de,nl,de,0,,
1961,final,nl,se,nl,se,0,,
1961,final,nl,at,nl,at,0,,
1961,final,nl,be,nl,be,0,,
1961,final,no,lu,no,lu,0,,
1961,final,no,gb,no,gb,0,,
1961,final,no,ch,no,ch,0,,
1961,final,no,fr,no,fr,0,,
1961,final,no,dk,no,dk,8,,
1961,final,no,it,no,it,0,,
1961,final,no,no,no,no,0,,
1961,final,no,yu,no,yu,0,,
1961,final,no,es,no,es,2,,
1961,final,no,mc,no,mc,0,,
1961,final,no,fi,no,fi,0,,
1961,final,no,nl,no,nl,0,,
1961,final,no,de,no,de,0,,
1961,final,no,se,no,se,0,,
1961,final,no,at,no,at,0,,
1961,final,no,be,no,be,0,,
1961,final,es,lu,es,lu,2,,
1961,final,es,gb,es,gb,3,,
1961,final,es,ch,es,ch,1,,
1961,final,es,fr,es,fr,2,,
1961,final,es,dk,es,dk,0,,
1961,final,es,it,es,it,0,,
1961,final,es,no,es,no,1,,
1961,final,es,yu,es,yu,0,,
1961,final,es,es,es,es,0,,
1961,final,es,mc,es,mc,1,,
1961,final,es,fi,es,fi,0,,
1961,final,es,nl,es,nl,0,,
1961,final,es,de,es,de,0,,
1961,final,es,se,es,se,0,,
1961,final,es,at,es,at,0,,
1961,final,es,be,es,be,0,,
1961,final,se,lu,se,lu,1,,
1961,final,se,gb,se,gb,0,,
1961,final,se,ch,se,ch,4,,
1961,final,se,fr,se,fr,1,,
1961,final,se,dk,se,dk,2,,
1961,final,se,it,se,it,0,,
1961,final,se,no,se,no,0,,
1961,final,se,yu,se,yu,0,,
1961,final,se,es,se,es,1,,
1961,final,se,mc,se,mc,0,,
1961,final,se,fi,se,fi,0,,
1961,final,se,nl,se,nl,0,,
1961,final,se,de,se,de,1,,
1961,final,se,se,se,se,0,,
1961,final,se,at,se,at,0,,
1961,final,se,be,se,be,0,,
1961,final,ch,lu,ch,lu,1,,
1961,final,ch,gb,ch,gb,7,,
1961,final,ch,ch,ch,ch,0,,
1961,final,ch,fr,ch,fr,0,,
1961,final,ch,dk,ch,dk,0,,
1961,final,ch,it,ch,it,0,,
1961,final,ch,no,ch,no,0,,
1961,final,ch,yu,ch,yu,1,,
1961,final,ch,es,ch,es,0,,
1961,final,ch,mc,ch,mc,1,,
1961,final,ch,fi,ch,fi,0,,
1961,final,ch,nl,ch,nl,0,,
1961,final,ch,de,ch,de,0,,
1961,final,ch,se,ch,se,0,,
1961,final,ch,at,ch,at,0,,
1961,final,ch,be,ch,be,0,,
1961,final,gb,lu,gb,lu,0,,
1961,final,gb,gb,gb,gb,0,,
1961,final,gb,ch,gb,ch,2,,
1961,final,gb,fr,gb,fr,2,,
1961,final,gb,dk,gb,dk,0,,
1961,final,gb,it,gb,it,0,,
1961,final,gb,no,gb,no,0,,
1961,final,gb,yu,gb,yu,1,,
1961,final,gb,es,gb,es,1,,
1961,final,gb,mc,gb,mc,1,,
1961,final,gb,fi,gb,fi,2,,
