year,round,from_country_id,to_country_id,total_points,tele_points,jury_points
2026,f,lu,hr,7,0,7
2026,f,bg,hr,4,4,0
2026,f,az,hr,7,0,7
2026,f,ee,hr,4,0,4
2026,f,au,hr,7,7,0
2026,f,de,hr,9,7,2
2026,f,pt,hr,9,1,8
2026,f,se,hr,6,0,6
2026,f,al,hr,2,2,0
2026,f,me,hr,16,8,8
2026,f,gr,hr,5,1,4
2026,f,cz,hr,4,4,0
2026,f,fr,hr,1,1,0
2026,f,fi,hr,7,2,5
2026,f,rs,hr,12,12,0
2026,f,md,hr,2,2,0
2026,f,ro,hr,4,2,2
2026,f,at,hr,8,8,0
2026,f,ua,gb,1,0,1
2026,f,ch,fr,7,0,7
2026,f,mt,fr,7,0,7
2026,f,ua,fr,5,0,5
2026,f,lu,fr,8,2,6
2026,f,il,fr,2,2,0
2026,f,au,fr,11,1,10
2026,f,de,fr,6,0,6
2026,f,be,fr,5,0,5
2026,f,pt,fr,7,2,5
2026,f,se,fr,2,0,2
2026,f,al,fr,4,0,4
2026,f,cy,fr,5,2,3
2026,f,ge,fr,12,0,12
2026,f,am,fr,10,2,8
2026,f,gr,fr,10,2,8
2026,f,cz,fr,3,0,3
2026,f,dk,fr,3,0,3
2026,f,no,fr,11,1,10
2026,f,fi,fr,12,0,12
2026,f,gb,fr,12,0,12
2026,f,lv,fr,6,0,6
2026,f,md,fr,2,0,2
2026,f,hr,fr,3,0,3
2026,f,lt,fr,1,0,1
2026,f,at,fr,4,0,4
2026,f,ch,md,1,1,0
2026,f,ua,md,20,12,8
2026,f,lu,md,6,6,0
2026,f,bg,md,8,3,5
2026,f,az,md,1,1,0
2026,f,sm,md,2,2,0
2026,f,ee,md,10,10,0
2026,f,il,md,14,8,6
2026,f,au,md,5,5,0
2026,f,de,md,3,3,0
2026,f,be,md,7,7,0
2026,f,pt,md,8,8,0
2026,f,cy,md,6,6,0
2026,f,ge,md,8,8,0
2026,f,me,md,2,0,2
2026,f,pl,md,8,8,0
2026,f,gr,md,7,4,3
2026,f,cz,md,8,8,0
2026,f,dk,md,3,3,0
2026,f,fr,md,10,10,0
2026,f,it,md,13,12,1
2026,f,fi,md,2,1,1
2026,f,gb,md,6,6,0
2026,f,lv,md,8,8,0
2026,f,rs,md,8,5,3
2026,f,hr,md,7,6,1
2026,f,lt,md,8,5,3
2026,f,ro,md,22,12,10
2026,f,at,md,5,5,0
2026,f,ROW,md,10,10,0
2026,f,ch,fi,3,3,0
2026,f,mt,fi,9,4,5
2026,f,ua,fi,8,2,6
2026,f,lu,fi,8,5,3
2026,f,az,fi,8,8,0
2026,f,sm,fi,6,4,2
2026,f,ee,fi,24,12,12
2026,f,il,fi,7,0,7
2026,f,au,fi,14,10,4
2026,f,de,fi,8,0,8
2026,f,be,fi,11,3,8
2026,f,pt,fi,12,5,7
2026,f,se,fi,24,12,12
2026,f,al,fi,1,1,0
2026,f,cy,fi,5,1,4
2026,f,ge,fi,8,1,7
2026,f,me,fi,7,0,7
2026,f,am,fi,10,8,2
2026,f,pl,fi,6,6,0
2026,f,cz,fi,10,3,7
2026,f,dk,fi,16,8,8
2026,f,fr,fi,4,2,2
2026,f,no,fi,18,10,8
2026,f,it,fi,3,3,0
2026,f,gb,fi,3,1,2
2026,f,lv,fi,13,10,3
2026,f,rs,fi,2,2,0
2026,f,md,fi,4,4,0
2026,f,hr,fi,8,2,6
2026,f,lt,fi,9,4,5
2026,f,at,fi,7,1,6
2026,f,ROW,fi,3,3,0
2026,f,ch,pl,8,0,8
2026,f,mt,pl,1,0,1
2026,f,ee,pl,5,0,5
2026,f,au,pl,8,0,8
2026,f,de,pl,16,4,12
2026,f,be,pl,12,0,12
2026,f,pt,pl,6,0,6
2026,f,se,pl,2,2,0
2026,f,ge,pl,2,0,2
2026,f,me,pl,1,0,1
2026,f,am,pl,1,0,1
2026,f,gr,pl,10,0,10
2026,f,cz,pl,5,0,5
2026,f,it,pl,8,2,6
2026,f,fi,pl,6,0,6
2026,f,gb,pl,10,5,5
2026,f,lv,pl,8,0,8
2026,f,rs,pl,1,0,1
2026,f,md,pl,12,0,12
2026,f,hr,pl,2,0,2
2026,f,lt,pl,13,3,10
2026,f,at,pl,12,0,12
2026,f,ROW,pl,1,1,0
2026,f,it,lt,2,0,2
2026,f,fi,lt,8,0,8
2026,f,lv,lt,12,12,0
2026,f,de,se,1,0,1
2026,f,me,se,4,0,4
2026,f,dk,se,16,6,10
2026,f,no,se,8,4,4
2026,f,it,se,10,0,10
2026,f,fi,se,6,6,0
2026,f,lt,se,6,0,6
2026,f,mt,cy,6,3,3
2026,f,bg,cy,16,6,10
2026,f,sm,cy,10,7,3
2026,f,au,cy,3,0,3
2026,f,ge,cy,8,0,8
2026,f,am,cy,3,3,0
2026,f,gr,cy,24,12,12
2026,f,dk,cy,2,0,2
2026,f,gb,cy,3,3,0
2026,f,ch,it,10,10,0
2026,f,mt,it,22,12,10
2026,f,ua,it,4,0,4
2026,f,lu,it,7,7,0
2026,f,bg,it,7,1,6
2026,f,az,it,12,0,12
2026,f,sm,it,18,8,10
2026,f,ee,it,12,6,6
2026,f,il,it,10,7,3
2026,f,au,it,1,0,1
2026,f,de,it,16,6,10
2026,f,be,it,10,4,6
2026,f,pt,it,3,3,0
2026,f,se,it,3,0,3
2026,f,al,it,24,12,12
2026,f,cy,it,4,3,1
2026,f,ge,it,10,0,10
2026,f,me,it,9,6,3
2026,f,pl,it,2,0,2
2026,f,gr,it,7,7,0
2026,f,dk,it,6,0,6
2026,f,fr,it,13,5,8
2026,f,no,it,5,0,5
2026,f,fi,it,8,5,3
2026,f,lv,it,1,1,0
2026,f,rs,it,16,6,10
2026,f,md,it,8,7,1
2026,f,hr,it,10,10,0
2026,f,lt,it,8,8,0
2026,f,ro,it,7,7,0
2026,f,at,it,8,6,2
2026,f,ch,no,5,0,5
2026,f,mt,no,2,0,2
2026,f,ua,no,6,6,0
2026,f,lu,no,4,0,4
2026,f,bg,no,3,0,3
2026,f,ee,no,10,0,10
2026,f,au,no,8,2,6
2026,f,be,no,7,0,7
2026,f,pt,no,2,0,2
2026,f,se,no,1,1,0
2026,f,al,no,10,0,10
2026,f,ge,no,5,0,5
2026,f,am,no,6,0,6
2026,f,pl,no,3,0,3
2026,f,cz,no,10,0,10
2026,f,dk,no,10,10,0
2026,f,fr,no,12,0,12
2026,f,gb,no,4,0,4
2026,f,rs,no,5,0,5
2026,f,md,no,6,0,6
2026,f,lt,no,7,0,7
2026,f,ro,no,5,0,5
2026,f,at,no,3,0,3
2026,f,ch,ro,5,4,1
2026,f,mt,ro,5,5,0
2026,f,ua,ro,13,10,3
2026,f,lu,ro,22,10,12
2026,f,bg,ro,10,10,0
2026,f,az,ro,9,6,3
2026,f,sm,ro,13,6,7
2026,f,ee,ro,4,4,0
2026,f,il,ro,7,3,4
2026,f,au,ro,6,6,0
2026,f,de,ro,1,1,0
2026,f,be,ro,10,10,0
2026,f,pt,ro,8,7,1
2026,f,se,ro,4,3,1
2026,f,al,ro,5,5,0
2026,f,cy,ro,7,7,0
2026,f,ge,ro,7,7,0
2026,f,me,ro,3,3,0
2026,f,am,ro,5,5,0
2026,f,pl,ro,15,10,5
2026,f,gr,ro,8,6,2
2026,f,cz,ro,15,7,8
2026,f,dk,ro,5,4,1
2026,f,fr,ro,8,8,0
2026,f,no,ro,13,7,6
2026,f,it,ro,15,10,5
2026,f,fi,ro,10,10,0
2026,f,gb,ro,8,8,0
2026,f,lv,ro,8,6,2
2026,f,rs,ro,7,7,0
2026,f,md,ro,15,12,3
2026,f,hr,ro,5,5,0
2026,f,lt,ro,10,10,0
2026,f,at,ro,3,3,0
2026,f,ROW,ro,7,7,0
2026,f,lu,at,1,0,1
2026,f,de,at,5,5,0
